Formatted Name,Serial,Group,Year,Name,Category,Pass Rate,EnglishName,EnglishCategory,testnum
NOIP2004-J,T1,普及组,2004,不高兴的津津,['枚举'],0.48024646611090976,The Unhappy Jinjin,['Enumerate'],10
NOIP2004-J,T2,普及组,2004,花生采摘,"['模拟', '搜索']",0.3931941664283672,Peanut Picking,"['Search', 'Simulation']",10
NOIP2004-J,T3,普及组,2004,FBI树,"['字符串', '搜索', '树形数据结构', '递归', '构造']",0.5929023047114012,FBI Tree,"['Tree Structure', 'String', 'Search', 'Recursion', 'Construct']",10
NOIP2004-J,T4,普及组,2004,火星人,"['树形数据结构', '递归', '构造']",0.5293037490436114,Martian,"['Tree Structure', 'Recursion', 'Construct']",10
NOIP2005-J,T1,普及组,2005,陶陶摘苹果,['模拟'],0.5668390743308095,Taotao Picking Apple,['Simulation'],10
NOIP2005-J,T2,普及组,2005,校门外的树,['模拟'],0.41273209549071616,The Trees Outside the Campus,['Simulation'],10
NOIP2005-J,T3,普及组,2005,采药,"['动态规划', 'dp', '背包']",0.4597383981365346,Gathering herbs,"['Bagging', 'DP']",10
NOIP2005-J,T4,普及组,2005,循环,"['模拟', '字符串', '高精度', '递推']",0.3017437452615618,Circle,"['String', 'Recursion', 'High Precision', 'Simulation']",10
NOIP2006-J,T1,普及组,2006,明明的随机数,"['模拟', '排序']",0.4627555495580594,Mingming’s Random Number,"['Sort', 'Simulation']",10
NOIP2006-J,T2,普及组,2006,开心的金明,"['动态规划', 'dp', '背包']",0.5395973154362416,The Happy Jinming,"['Bagging', 'DP']",10
NOIP2006-J,T3,普及组,2006,Jam的计数法,['模拟'],0.5937295885042455,Jam’s Counting Method,['Simulation'],10
NOIP2006-J,T4,普及组,2006,数列,"['数学', '进制']",0.5073044972787167,Sequence,"['System', 'Math']",10
NOIP2007-J,T1,普及组,2007,奖学金,"['模拟', '数学', '排序']",0.4739146991622239,Scholarship,"['Sort', 'Math', 'Simulation']",10
NOIP2007-J,T2,普及组,2007,纪念品分组,"['贪心', '排序']",0.4567137809187279,Souvenir Grouping,"['Greedy', 'Sort']",10
NOIP2007-J,T3,普及组,2007,守望者的逃离,"['动态规划', 'dp', '贪心']",0.3984619766448305,The Escape of the Watchman,"['Greedy', 'DP']",10
NOIP2007-J,T4,普及组,2007,Hanoi双塔问题,"['数学', '高精度', '递推', '递归']",0.3548055155381765,Hanoi Twin Towers,"['Recursion', 'High Precision', 'Math']",10
NOIP2008-J,T1,普及组,2008,ISBN号码,"['模拟', '字符串']",0.2515597936416293,ISBN Number,"['String', 'Simulation']",10
NOIP2008-J,T2,普及组,2008,排座椅,"['贪心', '排序']",0.34881378692927484,Arrange Seats,"['Greedy', 'Sort']",10
NOIP2008-J,T3,普及组,2008,传球游戏,"['模拟', '动态规划', 'dp', '递推']",0.4794028993828046,The Game of Ball Passing,"['Recursion', 'DP', 'Simulation']",10
NOIP2009-J,T1,普及组,2009,多项式输出,"['模拟', '字符串', '数学']",0.2765428870292887,Polynomial Output,"['String', 'Math', 'Simulation']",10
NOIP2009-J,T2,普及组,2009,分数线划定,"['模拟', '排序']",0.39574648057519185,Delimit the Minimum Passing Score,"['Sort', 'Simulation']",10
NOIP2009-J,T3,普及组,2009,细胞分裂,"['数学', '素数判断', '质数', '筛法']",0.26666666666666666,Cell Division,"['Sieve Theory', 'Prime', 'Math']",10
NOIP2009-J,T4,普及组,2009,道路游戏,"['动态规划', 'dp']",0.3622597553873034,Road Game,['DP'],20
NOIP2010-J,T1,普及组,2010,数字统计,['模拟'],0.5638781349941088,Statistics,['Simulation'],10
NOIP2010-J,T2,普及组,2010,接水问题,"['模拟', '搜素', '贪心']",0.44826581171670066,Receiving Water,"['Greedy', 'Search', 'Simulation']",10
NOIP2010-J,T3,普及组,2010,导弹拦截,"['模拟', '枚举', '排序']",0.33174603174603173,Missile Interception,"['Sort', 'Enumerate', 'Simulation']",10
NOIP2010-J,T4,普及组,2010,三国游戏,"['贪心', '博弈论']",0.5067842605156038,The Three Kingdom Game,"['Greedy', 'Game Theory']",10
NOIP2011-J,T1,普及组,2011,数字反转,"['模拟', '字符串']",0.4367496084913868,Digit Reversal,"['String', 'Simulation']",10
NOIP2011-J,T2,普及组,2011,统计单词数,"['模拟', '字符串']",0.219090478446234,Word Count,"['String', 'Simulation']",10
NOIP2011-J,T3,普及组,2011,瑞士轮,"['模拟', '递归', '排序']",0.21554133237176595,Swiss System,"['Sort', 'Recursion', 'Simulation']",10
NOIP2011-J,T4,普及组,2011,表达式的值,"['字符串', '动态规划', 'dp']",0.30192878338278933,The Value of Expression,"['String', 'DP']",10
NOIP2012-J,T1,普及组,2012,质因数分解,"['数学', '素数判断', '质数', '筛法']",0.3787883546371031,Prime Factorization,"['Sieve Theory', 'Prime', 'Math']",10
NOIP2012-J,T2,普及组,2012,寻宝,"['模拟', '概率论']",0.2678179423386507,Treasure Hunt,"['Probability Theory', 'Simulation']",10
NOIP2012-J,T3,普及组,2012,摆花,"['模拟', '动态规划', 'dp']",0.41094077423624126,Placing Flowers,"['DP', 'Simulation']",10
NOIP2012-J,T4,普及组,2012,文化之旅,"['搜素', '图论', '剪枝', '最短路']",0.22952029520295203,Cultural Journey,"['Shortest Path', 'Search', 'Graph Theory', 'Pruning']",10
NOIP2013-J,T1,普及组,2013,计数问题,"['模拟', '字符串']",0.4984030873644288,Numeration Problem,"['String', 'Simulation']",10
NOIP2013-J,T3,普及组,2013,小朋友的数字,"['动态规划', 'dp', '高精度', '递推']",0.15959666203059805,Children’s Numbers,"['High Precision', 'Recursion', 'DP']",10
NOIP2013-J,T4,普及组,2013,车站分级,"['图论', '贪心', '排序', '图论建模', '拓扑排序']",0.3059011731247778,The Station Classification,"['Greedy', 'Sort', 'Graph Theory', 'Topological Sort']",10
NOIP2014-J,T1,普及组,2014,珠心算测试,"['模拟', '枚举']",0.29012739737433735,Abacus Mental Arithmetic Test,"['Enumerate', 'Simulation']",10
NOIP2014-J,T2,普及组,2014,比例简化,"['数学', '最大公约数', 'gcd']",0.4404026134557655,Simplifying Proportion,"['GCD', 'Math']",10
NOIP2014-J,T3,普及组,2014,螺旋矩阵,"['模拟', '数学']",0.3021669341894061,Helix Matrix,"['Math', 'Simulation']",10
NOIP2014-J,T4,普及组,2014,子矩阵,"['动态规划', 'dp', '搜素', '枚举', '剪枝']",0.3518329938900204,Submatrix,"['Pruning', 'Search', 'Enumerate', 'DP']",10
NOIP2015-J,T1,普及组,2015,金币,"['模拟', '数学']",0.5656233421750664,Gold Coins,"['Math', 'Simulation']",10
NOIP2015-J,T2,普及组,2015,扫雷游戏,"['字符串', '搜素']",0.47960890261160427,Mine Sweeper,"['String', 'Search']",10
NOIP2015-J,T3,普及组,2015,求和,"['先性数据结构', '排序', '前缀和']",0.2352399938659715,Sum,"['Prefix Sum', 'Sort', 'Linear Structure']",10
NOIP2015-J,T4,普及组,2015,推销员,"['贪心', '线段树', '树状数组']",0.44286754002911205,The Salesman,"['Greedy', 'Binary Indexed Tree', 'Segment Tree']",10
NOIP2016-J,T1,普及组,2016,买铅笔,['模拟'],0.42285481903212685,Buying Pencils,['Simulation'],10
NOIP2016-J,T2,普及组,2016,回文日期,['枚举'],0.30499142521888256,Palindrome Dates,['Enumerate'],10
NOIP2016-J,T3,普及组,2016,海港,['模拟'],0.29419178657704026,Harbor,['Simulation'],10
NOIP2016-J,T4,普及组,2016,魔法阵,[],0.21708776595744683,Magic Circle,[],10
NOIP2017-J,T1,普及组,2017,成绩,[],0.6752122971084596,Score,[],10
NOIP2017-J,T2,普及组,2017,图书管理员,"['字符串', '排序']",0.4073426573426574,The Librarian,"['Sort', 'String']",10
NOIP2017-J,T3,普及组,2017,棋盘,"['广度优先搜素', 'BFS', '深度优先搜素', 'DFS', '剪枝', '最短路']",0.25174049036424173,Checkerboard,"['Shortest Path', 'DFS', 'BFS', 'Pruning']",10
NOIP2017-J,T4,普及组,2017,跳房子,"['动态规划', 'dp', '二分', '单调队列', '队列']",0.18159675236806494,Hopscotch,"['Bipartite', 'Queue', 'Monotonic Queue', 'DP']",10
NOIP2018-J,T1,普及组,2018,标题统计,"['模拟', '字符串']",0.4298206389427138,Title Statistics,"['String', 'Simulation']",20
NOIP2018-J,T2,普及组,2018,龙虎斗,"['模拟', '枚举']",0.20004801632555066,The Battle Between Dragon and Tiger,"['Enumerate', 'Simulation']",25
NOIP2018-J,T3,普及组,2018,摆渡车,"['动态规划', 'dp', '枚举', '深度优先搜素', 'DFS', '斜率优先']",0.1786130051554964,Shuffle,"['Convex Hull Trick', 'DFS', 'Enumerate', 'DP']",20
NOIP2018-J,T4,普及组,2018,对称二叉树,"['树形数据结构', '哈希', 'HSASH']",0.26891025641025645,Symmetric Binary Tree,"['Tree Structure', 'HSASH', 'Hash']",25
CSP2019-J,T1,CSP-J,2019,数字游戏,['字符串'],0.21652892561983472,The Number Game,['String'],20
CSP2019-J,T2,CSP-J,2019,交通换乘,['模拟'],0.23051050153225205,Public Transport Transfer,['Simulation'],20
CSP2019-J,T3,CSP-J,2019,纪念品,"['动态规划', 'dp', '背包']",0.31476217547849156,Souvenir,"['Bagging', 'DP']",20
CSP2019-J,T4,CSP-J,2019,零件加工,['最短路'],0.197509660798626,Machining Parts,['Shortest Path'],20
NOIP2004-S,T1,提高组,2004,津津的储蓄计划,"['模拟', '枚举']",0.4145010463853347,Jinjin’s Savings Plan,"['Enumerate', 'Simulation']",10
NOIP2004-S,T2,提高组,2004,合并果子,"['贪心', '堆', '优先队列']",0.38268405624707935,Fruit Pile,"['Heap', 'Greedy', 'Priority Queue']",10
NOIP2004-S,T3,提高组,2004,合唱队形,"['动态规划', 'dp', '单调队列']",0.4210078311201907,Chorus Formation,"['Monotonic Queue', 'DP']",10
NOIP2004-S,T4,提高组,2004,虫食算,"['搜素', '数学']",0.22908063464464246,The Worm-eaten Formula Puzzle,"['Search', 'Math']",10
